Metric Pair,Model,R² Mean,R² Std,R² CI Lower,R² CI Upper,MAE Mean,MAE Std,MAE CI Lower,MAE CI Upper
accuracy vs AOD,Decision Tree,-8.535813426802289,15.519907007823063,-24.822956968683258,7.75133011507868,0.12498237780273282,0.07516581304118733,0.046100694695552474,0.20386406090991316
accuracy vs AOD,Random Forest,-9.706833093580856,18.292502711612894,-28.90363738204136,9.489971194879649,0.12932327515274036,0.07531414239059951,0.05028592993984429,0.20836062036563643
accuracy vs AOD,Gradient Boosting,-13.610628998777578,26.405538411788807,-41.32154209875116,14.100284101196003,0.142168620372009,0.07479810869508298,0.06367281931057521,0.22066442143344278
accuracy vs CFVR,Decision Tree,-0.026980381871541875,0.3758006858223279,-0.42135901507084633,0.36739825132776255,0.026244186943721038,0.010335837681856854,0.015397390512200564,0.03709098337524151
accuracy vs CFVR,Random Forest,-0.0945125584389755,0.39867027572132924,-0.5128913543480971,0.3238662374701461,0.027222557408254563,0.010530245330910135,0.016171742661149187,0.03827337215535994
accuracy vs CFVR,Gradient Boosting,-0.20505851168614944,0.5601603439457356,-0.792910740679197,0.38279371730689815,0.028206144983035683,0.009978980478526333,0.017733847219043863,0.0386784427470275
AOD vs CFVR,Decision Tree,-1.8395735385114877,4.128814312549912,-6.172498428614003,2.493351351591028,0.2146805779498863,0.07281180615815785,0.13826927356231755,0.29109188233745503
AOD vs CFVR,Random Forest,-1.5909506415245656,3.9476807102218294,-5.733787473761244,2.5518861907121133,0.19716846738212027,0.06313155374836675,0.13091596487657528,0.2634209698876653
AOD vs CFVR,Gradient Boosting,-2.1790758760276296,5.406269339526496,-7.852607599803658,3.4944558477483985,0.20513436653781694,0.07743913606237425,0.12386697723120703,0.28640175584442684
